Domanda;Risposta
che cos'è l'ecografia mammaria?;l'ecografia mammaria è un esame per immagini del seno, semplice e sicura.
che cos'è l'ecografia prostatica transrettale?;l'ecografia prostatica transrettale è un esame per immagini della ghiandola prostatica.
che cos’è l’ecografia tiroidea?;l’ecografia tiroidea è un metodo diagnostico per immagini che sfrutta gli ultrasuoni per visualizzare la struttura della tiroide, i vasi sanguigni e gli organi vicini. indolore e non invasiva, permette di verificare la presenza e la dimensione di noduli, la loro struttura interna (solida, liquida, mista) e il grado di vascolarizzazione. inoltre può fornire indicazioni sullo sviluppo di patologie infiammatorie come la tiroidite.
che cos'è l'ecografia transvaginale?;l'ecografia transvaginale, spesso eseguita in associazione all'ecografia pelvica, permette di studiare il collo dell'utero, l'utero stesso o le ovaie.
che cos'è l'elettroencefalogramma?;l'elettroencefalogramma (eeg) è la registrazione non invasiva dell'attività elettrica dell'encefalo tramite elettrodi esterni.
che cos'è l'epiluminescenza, o dermatoscopia?;l'epiluminescenza, o dermatoscopia, è un esame non invasivo che permette di riconoscere melanomi o altri tumori della pelle.
che cos’è la colangio-pancreatografia endoscopica retrograda (ercp)?;la colangio-pancreatografia endoscopica retrograda (ecrp) è una procedura invasiva che consente di stabilire cosa impedisca il deflusso della bile e dei succhi pancreatici nell'intestino e di intervenire direttamente per risolvere il problema.
che cos'è la gastroscopia?;la gastroscopia (come per brevità viene chiamata l’esofagogastroduodenoscopia, o egds) è un esame invasivo: attraverso la bocca, oppure attraverso il naso, si introduce un sondino flessibile in cima al quale è posta una telecamera per osservare le superfici interne dell'esofago, dello stomaco e del duodeno, la porzione iniziale dell'intestino.
che cos'è il test hpv?;il test hpv (detto anche dna hpv test) consiste nel prelievo di una piccola quantità di cellule dal collo dell'utero (o cervice uterina) che vengono successivamente analizzate per verificare la presenza di papillomavirus: le infezioni causate da questo virus possono infatti essere responsabili del tumore del collo dell'utero.
che cos'è l'isteroscopia?;l'isteroscopia è un metodo endoscopico che permette di diagnosticare ed eventualmente trattare diverse condizioni patologiche a carico dell’utero (cervice e corpo).
che cos’è la laparoscopia?;la laparoscopia è una tecnica chirurgica mininvasiva che ha rivoluzionato molte procedure sia diagnostiche che operatorie perché consente non solo di studiare organi e tessuti all’interno di addome e pelvi, ma anche di effettuare interventi con notevoli vantaggi per il paziente. 
che cos'è la laringoscopia?;oggi con il termine laringoscopia si tende a identificare l’esame endoscopico delle vie aero-digestive superiori, in sigla vads: esse comprendono le fosse nasali, il rinofaringe, l’orofaringe, l’ipofaringe e la laringe.
cos'è la mammografia?;la mammografia è una radiografia eseguita mentre il seno è compresso tra due lastre, al fine di individuare la presenza di formazioni potenzialmente tumorali.
che cos'è il pap test?;il pap test (test di papanicolaou, dal cognome del medico che lo ha inventato) è un esame di screening, che si effettua cioè anche in donne sane senza alcun segno di possibile malattia. lo scopo è individuare precocemente tumori del collo dell'utero o alterazioni che col passare degli anni potrebbero diventare tali.
che cos'è la pet?;la pet (acronimo di tomografia a emissione di positroni) è una tecnica diagnostica di medicina nucleare che comporta la somministrazione per via endovenosa di una sostanza normalmente presente nell'organismo (per lo più glucosio, ma anche metionina o dopamina). la sostanza è marcata con una molecola radioattiva (nel caso del glucosio, il fluoro 18) e il tomografo pet rileva la distribuzione di queste sostanze. poiché i tumori sono particolarmente avidi di glucosio, la pet mostrando l'accumulo di questo zucchero, è molto utile per confermare una diagnosi di tumore, per verificare la presenza di metastasi o per verificare una diminuzione della massa tumorale.
che cos'è il psa?;il dosaggio del psa, cioè dell'antigene prostatico specifico, è un esame di laboratorio eseguito su un prelievo di sangue.
che cos'è la radiografia del torace?;la radiografia del torace è il più comune esame radiologico utilizzato di routine per individuare, tramite i raggi x, patologie anche tumorali che riguardano i polmoni o le strutture del mediastino, l'area anatomica posta al centro del torace.
che cos'è la radiografia del tubo digerente?;la radiografia del tubo digerente è un esame che fornisce l'immagine di esofago, stomaco e duodeno, dopo che questi organi sono stati attraversati dai raggi x, rivelando eventuali alterazioni a loro carico.
che cos'è la ricerca di marcatori tumorali nel sangue?;i marcatori tumorali sono sostanze, per lo più proteine, che circolano nel sangue e possono essere associate anche a malattie diverse dal cancro, quali situazioni infiammatorie. tuttavia in presenza di una neoplasia maligna spesso le concentrazioni ematiche di marcatori sono molto superiori alla norma e pertanto questi sono a volte usati come indicatori indiretti dello stato della malattia e della sua possibile progressione. nella fase diagnostica invece i marcatori tumorali possono a volte indirizzare o confermare una diagnosi, ma da soli non sono sufficienti a stabilire la diagnosi di tumore. 
che cos'è la risonanza magnetica?;la risonanza magnetica (rm) è una tecnica diagnostica che fornisce immagini dettagliate del corpo umano utilizzando campi magnetici, senza esporre il paziente a nessun tipo di radiazioni ionizzanti.
che cos'è la scintigrafia ossea?;la scintigrafia ossea è un esame di medicina nucleare che, mediante l'iniezione endovenosa di un radiofarmaco che trasporta isotopi radioattivi, consente di individuare la presenza di una lesione ossea che determina un accumulo del tracciante ben visibile nella immagine corrispondente. l’esame scintigrafico permette dunque di diagnosticare una malattia dell’osso di natura benigna o maligna.
cos'è la scintigrafia renale?;la scintigrafia renale è un esame che permette di verificare la funzionalità renale e può essere statica o dinamica.
cos'è la scintigrafia tiroidea?;la scintigrafia tiroidea è una tecnica di diagnostica per immagini che fornisce informazioni sulla funzionalità della tiroide.
cos'è la tc (tomografia computerizzata)?;la tomografia computerizzata (tc oppure ct dall’inglese computed tomography) è una tecnica diagnostica per immagini che consente di esaminare ogni parte del corpo (encefalo, polmone, fegato, pancreas, reni, utero, vasi arteriosi e venosi, muscoli, ossa e articolazioni) per la diagnosi e lo studio dei tumori e di numerose altre patologie.
che cos'è la toracentesi e paracentesi?;con la toracentesi si preleva del liquido dalla cavità pleurica e con la paracentesi si effettua la stessa operazione nella cavità peritoneale.
che cos'è l'urografia?;l'urografia (o urografia endovenosa con contrasto) è un esame radiologico che serve a studiare il tratto urinario, cioè gli organi e i condotti attraverso cui passa l'urina.
cos’è l’epidemiologia?;secondo alcune delle definizioni recenti, l’epidemiologia è “lo studio della distribuzione e della frequenza delle malattie e delle condizioni o eventi legati alla salute in popolazioni ben definite, nonché l’applicazione di questo studio per controllare i problemi di salute”.
come possono essere gli studi epidemiologici?;gli studi epidemiologici possono essere osservazionali o sperimentali.
quali sono le raccomandazioni per i pazienti in trattamento con bifosfonati?;prima che il paziente inizi il trattamento: programmare una visita di controllo ed una seduta di igiene orale, controllare e adattare eventuali protesi rimovibili, portare a termine tutte le procedure invasive già pianificate o necessarie.
qual'è il trattamento dell'osteonecrosi della mandibola?;il trattamento può richiedere l’impiego di antibiotici, sciacqui del cavo orale e protesi rimovibili. potrebbero rendersi necessari piccoli interventi odontoiatrici, procedure odontoiatriche invasive vengono di norma evitate perché potrebbero peggiorare la situazione.
quali sono i sintomi più comuni che caratterizzano le condizioni dell'osteonecrosi della mandibola?;dolore, gonfiore o infezione delle gengive. mobilità dei denti, scarsa guarigione delle  gengive, sensazione di intorpidimento o pesantezza della mandibola.
che cos'è l'osteonecrosi della mandibola (osteonecrosi della mandibola da bifosfonati)?;l’osteonecrosi della mandibola è una condizione non comune, osservata nei pazienti sottoposti a terapia oncologica con bifosfonati, caratterizzata dall’esposizione di zone dell’osso mascellare che può presentarsi senza ulteriori sintomi o essere associata a dolore e malessere.in casi gravi possono insorgere perdita parziale e localizzata del tessuto osseo o fratture.
come viene trattata la costipazione indotta da oppioidi?;in genere vengono utilizzati dei lassativi, che sono alimenti o farmaci che servono a favorire l’evacuazione o a sciogliere ed ammorbidire le feci. i lassativi vengono aggiunti alla terapia con oppioidi proprio per evitare la comparsa della costipazione.
esistono degli accorgimenti pratici per ridurre il rischio di costipazione?;cercare di bere il più possibile. assumere cibi ricchi di fibra (come  cereali integrali,  frutta,  verdura , pane integrale). cercare di muoversi il più possibile. cercare di fare una breve passeggiata, se si riesce, anche solo all’interno della casa o  della propria stanza.
come si manifesta la stipsi?;evacuazioni meno frequenti del solito, feci secche e dure, sforzo durante l’evacuazione, sensazione di dover completare l’evacuazione anche dopo essere andati in bagno, senso di gonfiore all’addome, trascorrere più tempo in bagno per riuscire ad evacuare, sensazione o stato di effettivo malessere, senso di maggiore stanchezza e indolenza, perdita di appetito dovuta al senso di pienezza.
esistono farmaci per il  controllo del dolore episodico intenso?;si, esistono vari farmaci disponibili per il controllo del dolore episodico intenso. 
cos'è il dolore  breakthrough  cancer pain o il cosiddetto dolore episodico intenso?;il breakthrough  cancer pain o il cosiddetto dolore episodico intenso è un tipo di dolore particolare, che insorge nei pazienti oncologici e che si manifesta con le seguenti caratteristiche: aumento transitorio dell’intensità del dolore, non controllato dall’abituale farmaco analgesico, generalmente ha una durata  fino a 30 minuti, è grave ed intenso, è spesso imprevedibile (ma può anche essere scatenato dal movimento, come camminare e tossire).
esistono degli accorgimenti che si possono adottare in caso di ipertensione?;controllare il peso corporeo, evitare bevande alcoliche, non abusare di liquirizia (evitare anche le caramelline a base di liquirizia), cercare di fare un po’ di movimento: almeno una passeggiata al giorno, ove possibile, cercare di introdurre cibi ad alto contenuto di magnesio e potassio, come banane, cereali, frutta e verdura fresche, agrumi, ridurre l’apporto di sale e l’uso di alimenti che ne sono ricchi (ad esempio insaccati), prediligere la cottura al vapore, alla griglia o i cartocci al forno e comunque modi di cottura poco grassi.
sono un paziente in terapia con avastin (bevacizumab). la mia pressione arteriosa è in aumento , cosa devo fare?;in caso di insorgenza di ipertensione il medico di riferimento le prescriverà uno o più farmaci appropriati (anti-ipertensivi) o adeguerà la vostra terapia  anti-ipertensiva nel caso  foste già affetti da ipertensione prima di iniziare la terapia a bersaglio molecolare.
come si manifesta la reazione cutanea mano-piede?;nella forma lieve: intorpidimento, sensazione di fastidio nel toccare gli oggetti, sensazione di bruciore o puntura, pizzicore, gonfiore non  dolente,   rossore mani e/o piedi. nella forma moderata:  rossore dolente, gonfiore, ispessimento cute mani e/o piedi. nella forma grave: desquamazione o esfoliazione, piaghe aperte, formazioni di vescicole, ispessimento cutaneo, dolore forte a mani e/o piedi.
in caso di rush cutaneo, cosa bisogna fare?;tutte le indicazioni date per la secchezza della cute sono applicabili anche per il rash. per gli uomini: evitare di fare la barba tutti i giorni e usare il rasoio elettrico anziché la lametta. per le donne: trucchi privi di alcol possono essere utilizzati. anche se sembra acne non va trattata come tale, per cui vanno evitati prodotti e lozioni anti-acne. esistono creme medicate o l’indicazione, in casi selezionati, ad intraprendere una terapia antibiotica.
iin caso di tossicità cutanea, ed in particolar modi di secchezza della cute, quali sono gli accorgimenti utili che si possono adottare?;gli accorgimenti utili che si possono adottare sono:evitare bagni caldi e docce prolungate, utilizzando comunque detergenti neutri. applicare dopo il bagno creme idratanti sulla pelle. evitare esposizioni prolungate al sole e comunque fare uso sempre di creme protettive. possono essere utili lozioni colloidali di farina d’avena, aloe, glicerina, mentre vanno evitate lozioni alcoliche come il tonico per il viso. usare uno shampoo antiforfora per lenire il fastidio al cuoio capelluto. usare abiti ampi e comodi e se possibile con il cotone a contatto con la pelle. proteggere la pelle dal freddo e dal vento. mantenere comunque una buona idratazione, introducendo almeno 1,5 litri di liquidi al  giorno.
come posso avere cura della mia parrucca?;alcune cose da fare per mantenere la tua parrucca sono: lavarla con uno shampoo specifico e con acqua fredda. l’uso di uno shampoo specifico,non soltanto pulisce la parrucca ma contribuisce a mantenerla lucida ed in piega. non lavare la tua parrucca con saponi anche se delicati o con balsami che non siano specifici. non strofinare o sfregare la parrucca quando la lavi,ma ponila in acqua precedentemente saponata. asciuga la tua parrucca correttamente :ponendola su una tovaglia pulita e scrollandola dall’eccesso di acqua.
la caduta dei capelli è permanente?;no, la caduta dei capelli e’ temporanea,e la ricrescita avviene anche dopo caduta totale e anche dopo ripetuti chemiotrattamenti.
tutti i tipi di chmioterapia fanno cadere i capelli?;no, non tutti i farmaci chemioterapici hanno effetti sulla caduta dei capelli. alcuni farmaci ne provocano solo un diradamento, altri nessun tipo di effetto.
come si trattano nausea e vomito?;esistono infatti formulazioni per bocca, in forma di iniezione intramuscolo, o se e’ il caso in vena.
cos'è la stitichezza?;la stitichezza (stipsi) si riferisce alla diminuzione della frequenza dei movimenti intestinali con successiva difficolta’ nella fuoriuscita delle feci ,che possono diventare molto dure, spesso causando dolore, disagio e a volte perdita di sangue dal retto.
quali sono i sintomi dell'anemia?;i segni e sintomi dell’anemia includono: stanchezza o fatigue, vertigini, mal di testa, difficoltà nel respirare, irritabilità, ronzii nell’orecchio, sensazione di freddo.
cosa posso fare per prevenire l'anemia?;come per la neutropenia e la piastrinopenia,non c’e’ un modo per prevenire l’anemia causata dalla chemioterapia,mentre e’ molto importante che tu ne riconosca i sintomi per modificare il tuo stile di vita e potere avvisare il tuo oncologo.
come si tratta la leucopenia?;per cui se la tua chemioterapia incide molto sui globuli bianchi , o se gia’ nei precedenti cicli questi si sono abbassati in maniera eccessiva , il tuo oncologo potra’ prescriverti tali fattori di crescita prima, o dopo la chemioterapia. infatti aumentando la produzione dei globuli bianchi si ridurra’ il rischio di una eventuale infezione. la somministrazione e’ molto semplice,essendo una normale iniezione ,praticabile anche da un membro della tua famiglia dopo accurate istruzioni da parte dello staff curante.una volta che il conteggio dei tuoi globuli bianchi si sara’ rinormalizzato potrai sospendere il farmaco.
durante il mio chemiotrattamento dovrei aggiungere un supplemento nutrizionale liquido?;tuttavia le stesse terapie inducono sintomi che possono portare ad una diminuzione dell’introito alimentare e ad una perdita dell’appetito come puo’ succedere in caso di infiammazione delle mucose della bocca o in caso di difficolta’ ad inghiottire. in tali condizioni e’ auspicabile usare degli integratori liquidi capaci di supplire gli eventuali deficit da introito. in commercio ne esistono di diversi tipi per i differenti gusti ed esigenze .i supplementi nutrizionali giocano un ruolo molto importante nell’aiutare a prevenire la malnutrizione durante il trattamento ed al tempo stesso a tollerare meglio i trattamenti.
mi hanno diagnosticato un cancro. dovrei introdurre nella mia vita dei supplementi vitaminici?;e’ comunque necessario chiedere sempre al proprio medico circa gli eventuali supplementi vitaminici che si decida di assumere.
aumentare la quantità di cibi ad elevato contenuto di fibre nella dieta giornaliera può aiutarmi a prevenire la stitichezza?;consuma molta verdura e frutta fresca specialmente mele, pere, prugne, crusca, pane integrale e cereali,succo di prugna.
cosa significa oncologia di precisione?;ogni paziente presenta caratteristiche che lo differenziano dagli altri e, in linea di principio, deve essere curato con una terapia su misura.
come cambia la cura del cancro grazie all’oncologia di precisione?;il trattamento del cancro si sta trasformando da cura a ampio spettro (una terapia “uguale per tutti”) a terapie sviluppate sulla base dell’individuazione delle singolarità genetiche ed epigenetiche dei diversi tipi di tumore e della scoperta di molecole che “blocchino” i meccanismi che alimentano il loro sviluppo. il risultato di questa trasformazione sarà (e in parte è già) la realizzazione di farmaci in grado di aggredire i meccanismi causa della malattia.
cosa sono i farmaci biologici?;sono una particolare categoria di terapie mirate. 
 quali sono i bersagli delle terapie mirate? ;alcuni farmaci bloccano specifici enzimi, le proteine chinasi, che si possono trovare legate a recettori cellulari di superficie o nella parte intracellulare.
in quale tumore è stata utilizzata per la prima volta una terapia mirata?;la strada è stata aperta dalla leucemia mieloide cronica, un tumore del sangue.
cosa sono i biomarcatori?;i biomarcatori sono molecole biologiche che si possono rilevare nel sangue, nelle urine, nelle feci e in altri fluidi corporei o tessuti, con un approccio che può essere invasivo (comportando un prelievo di tessuto) oppure meno invasivo (basandosi su un semplice prelievo di sangue) oppure, in qualche caso, basandosi sull’esecuzione di esami strumentali in grado di rilevare la presenza del biomarcatore nel corpo del paziente, mediante l’iniezione in circolo di un tracciante.
come cambia la classificazione dei tumori in seguito alle terapie mirate?;la possibilità di conoscere il profilo genetico e molecolare di ogni singolo tumore provoca una rivoluzione nel modo di affrontare le diverse neoplasie, sia dal punto di vista diagnostico che prognostico e terapeutico.
esiste una relazione fra il momento della diagnosi e le terapie mirate?;solo partendo da una puntuale individuazione delle caratteristiche molecolari del tumore è possibile stabilire la terapia migliore.
quali sono i principali vantaggi e limiti delle terapie mirate?;il vantaggio principale delle target therapy è l’azione selettiva: ciò le rende potenzialmente più efficaci e meno tossiche. altro vantaggio è che possono essere sinergiche alla chemioterapia e alla radioterapia. inoltre, è possibile impiegare un’ampia gamma di agenti indirizzati su differenti bersagli molecolari. molti farmaci si presentano sotto forma di compresse e sono assunti per bocca, un grande vantaggio per i malati e per le loro famiglie perché permette di ridurre i disagi, i tempi di ricovero e le giornate in day-hospital (altri farmaci devono invece essere somministrati per via endovenosa o sottocutanea). la restrizione maggiore al loro impiego, in molti casi, è attualmente rappresentata dallo spettro d’azione limitato a quei particolari sottogruppi di neoplasie che, pur condividendo il tipo istologico, dipendono da specifiche alterazioni molecolari.
quali sono i sintomi del tumore ai polmoni?;tra questi, tosse secca o con catarro (talvolta striato di sangue), piccole perdite di sangue con i colpi di tosse, difficoltà respiratorie, dolore al torace, perdita di peso.
il tumore ai polmoni può colpire i non fumatori?;solo il 15% delle diagnosi di tumore del polmone riguarda i non fumatori: tali casi, spesso, presentano specifiche mutazioni o alterazioni genetiche che possono essere trattate con farmaci a bersaglio molecolare.
quali sono i principali tipi di terapie mirate nel tumore del seno?;"sono disponibili terapie mirate per i tumori her-2 positivi che hanno meccanismi d’azione diversi: anticorpi monoclonali, che agiscono legandosi al recettore her2 al di fuori delle cellule tumorali (trastuzumab e pertuzumab); inibitori di her2, che agiscono legandosi al recettore her2 all’interno delle cellule tumorali (lapatinib); un anticorpo anti-her2 coniugato con un chemioterapico che, attraverso il legame con il recettore her2, veicola il chemioterapico all’interno delle cellule her2-positive (trastuzumab emtansine, tdm1)."
quali sono le caratteristiche dei tumori del seno triplo negativi?;nella categoria dei tumori “triplo-negativi” si concentrano differenti tipi biologici di tumore, che hanno come caratteristica comune quella di non presentare né i recettori per gli ormoni, né l’iperespressione di her2.
quali sono i sintomi del tumore del colon-retto?;le neoplasie del colon-retto in fase iniziale non causano sintomi specifici, ma possono manifestare piccoli segnali come: modifiche delle abitudini intestinali (diarrea/stitichezza), generico fastidio addominale, perdita di peso senza causa apparente o stanchezza persistente. quando la malattia è più avanzata, si possono manifestare perdite di sangue durante l’evacuazione, stimolo frequente all’evacuazione, dolori addominali, nausea o vomito.
quali sono i fattori di rischio del melanoma?;il più importante fattore di rischio è stato identificato nell’esposizione a raggi uv, in rapporto alle dosi assorbite, al tipo di esposizione (intermittente più che cronica) e all’età (in particolare quella infantile e adolescenziale), con probabilità maggiori nei casi di sussistenza e interazione di tutti questi fattori.
quali sono i fattori di rischio del tumore del rene?;il fumo (responsabile di circa il 40% dei casi fra gli uomini), l’ipertensione arteriosa e l’esposizione occupazionale a cancerogeni chimici. un ruolo particolare può essere attribuito al sovrappeso, a cui va ricondotto il 25% delle diagnosi.
è possibile individuare questa neoplasia in fase precoce?;circa il 60% dei casi di carcinoma renale è diagnosticato casualmente attraverso un’ecografia addominale eseguita per altri motivi, senza che si abbiano sintomi specifici. una casualità che presenta conseguenze positive, perché in questo modo la malattia è spesso individuata in fase precoce e può essere curata con successo.
è possibile la diagnosi precoce del tumore del fegato? ;conoscendo le cause dell’epatocarcinoma, è identificabile una popolazione di persone a rischio, in particolare i pazienti con cirrosi epatica e alcune categorie di pazienti con epatite virale cronica.
quando viene utilizzata la terapia mirata nel tumore del fegato? ;negli stadi avanzati di malattia i pazienti con buona funzionalità epatica possono essere sottoposti a terapia con un inibitore multichinasico che, nelle sperimentazioni cliniche, ha determinato un aumento statisticamente significativo della sopravvivenza globale.
quali sono i fattori di rischio del tumore dell’ovaio?;i principali fattori di rischio delle forme epiteliali sono legati all’assetto ormonale e all’ovulazione.
qual è la sopravvivenza a 5 anni dalla diagnosi nel tumore dell’ovaio?;il carcinoma ovarico è una neoplasia meno frequente del tumore della mammella: nel 2017 in italia sono stati stimati 5.200 nuovi casi, ma la sopravvivenza a 5 anni dalla diagnosi è bassa, pari al 39,5% (contro l’87% nella mammella).
che cos'è il cancro?;la teoria prevalente, formulata alla metà del secolo scorso, interpreta il cancro come un insieme di circa 200 malattie diverse, caratterizzate da un’abnorme crescita cellulare, svincolata dai normali meccanismi di controllo dell’organismo.
 quali sono le cause principali dei tumori?;i motivi per cui una persona si può ammalare sono ancora largamente sconosciuti.
quali sono le principali armi contro il cancro?;oltre alle terapie mirate, i principali approcci nel trattamento delle neoplasie sono rappresentati dalla chirurgia, dalla radioterapia, dalla chemioterapia, dalla terapia ormonale (in alcune patologie come il tumore della mammella o il tumore della prostata), a cui si affianca la nuova arma costituita dall’immuno-oncologia.
è sempre necessaria l’asportazione totale dell’organo?;questo approccio è stato sostituito progressivamente da interventi individualizzati dove la resezione completa, ma il più possibile conservativa, si inserisce in un programma multidisciplinare.
quali sono i possibili effetti collaterali della radioterapia? ;dipendono dalla sede e dall’estensione della parte del corpo irradiata e sono in parte paragonabili a quelli provocati dai farmaci chemioterapici: vomito, nausea, diarrea, stanchezza cronica, tosse e dolore a livello toracico.
qual è stato il passaggio più importante nell’evoluzione dell’immuno-oncologia?;l’elemento chiave è stata la scoperta dei checkpoint, molecole coinvolte nei meccanismi che permettono al tumore di evadere il controllo del sistema immunitario.
quando è stato scoperto per la prima volta il cancro? ;le prime testimonianze storiche risalgono a papiri egizi del 1600 a.c., in cui veniva chiamato “nemsu”, fino al termine “carcinoma” coniato dal medico greco ippocrate.
quali sono le differenze fra tumori benigni e maligni?;se il tumore è benigno, non si parla di cancro. le cellule che lo costituiscono sono considerate tumorali perché si moltiplicano più del dovuto, dando origine a una massa che può raggiungere dimensioni importanti. le cellule dei tumori benigni si sviluppano lentamente e non hanno la capacità di diffondersi ad altre parti dell’organismo, anche se possono creare problemi alla salute. se, infatti, continuano a crescere, esercitano pressione contro gli organi sani vicini. i tumori maligni, invece, sono composti da cellule che, senza un adeguato trattamento, possono invadere i tessuti circostanti.
i virus possono causare i tumori? ;alcune neoplasie possono essere causate da infezioni virali. l’esempio più noto è il papilloma virus umano (hpv), che può provocare il cancro della cervice uterina, di testa e collo, della vulva, della vagina, del pene e dell’ano (quasi 4.400 casi di tumore ogni anno in italia 70 sono riconducibili all’hpv).
quanti tumori vengono diagnosticati ogni anno in italia? ;nel 2017 in italia sono stati stimati poco più di 369.000 nuovi casi di tumore maligno di cui circa 192.000 negli uomini (54%) e 177.000 nelle donne (46%). complessivamente in italia ogni giorno circa 1.000 persone ricevono una nuova diagnosi di tumore.
è vero che il cancro è un male incurabile?;no, non deve più essere considerato un male incurabile. negli ultimi decenni si è registrato un incremento costante delle persone vive con una precedente storia di cancro in italia: erano meno di un milione e mezzo all’inizio degli anni novanta, due milioni e 250mila nel 2006, oltre 3 milioni e trecentomila (3.304.648) nel 2017.
cos’è il follow up?;dopo la fine di ogni tipo di trattamento sono necessari esami periodici di controllo. questa pratica clinica si chiama follow up oncologico e ha come obiettivo la gestione di possibili complicanze legate al trattamento utilizzato e l’identificazione di un’eventuale ricomparsa di cellule tumorali.
